datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype_rain,preciptype_snow,preciptype_freezingrain,preciptype_ice,no_preciptype,snow_amount,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
8/1/2015,33.1,22.8,28.2,34,22.8,28.6,17.4,53.3,0,0,0,0,0,0,0,1,0,0,34.9,15.9,260.4,1011.7,48.5,16,265.1,22.9,8
8/2/2015,32,22.8,27.3,31.1,22.8,27.2,15.4,49.1,0,0,0,0,0,0,0,1,0,0,22,22.3,248.3,1013.6,61.2,16,259.1,22.4,8
8/3/2015,33.2,21.8,27.9,34.9,21.8,28.7,18.6,58.7,0,0,0,0,0,0,0,1,0,0,38.5,24.8,186,1011.1,45.8,16,277,24.1,9
8/4/2015,35.3,24.9,29.3,36.6,24.9,30.4,19,55.2,1.231,100,8.33,1,0,0,0,0,0,0,47.9,22.6,232.8,1012.3,65.7,14.7,254.7,21.9,9
8/5/2015,33.6,24,28.6,33,24,28.6,17.6,55.3,0,0,0,0,0,0,0,1,0,0,36.7,21.6,315.9,1014.1,59.6,16,273.5,23.7,9
8/6/2015,29,23.4,26.2,29.2,23.4,26.4,16.2,54.2,0.072,100,4.17,1,0,0,0,0,0,0,23,21.4,17.8,1014.2,88.6,15.9,182.5,15.8,7
8/7/2015,28,21.5,24.4,28.9,21.5,24.7,18.1,68.6,1.614,100,20.83,1,0,0,0,0,0,0,35.3,22.8,46.9,1011.7,97.5,15.8,143,12.3,6
8/8/2015,30.8,23,26.3,30.5,23,26.3,16.3,55.2,0.011,100,4.17,1,0,0,0,0,0,0,30.6,19.7,60.2,1014,82.2,16,210.2,18.3,8
8/9/2015,31,22.3,26.4,31.9,22.3,26.9,17.8,60,0,0,0,0,0,0,0,1,0,0,22,17.4,172.3,1015.7,83.5,16,207.8,18,7
8/10/2015,26.4,21.9,23.7,26.4,21.9,23.7,19.7,78.5,2.894,100,29.17,1,0,0,0,0,0,0,40.3,27.3,168.8,1015.6,99.2,15.9,135.8,11.7,4
8/11/2015,31.6,22.7,26.5,33.8,22.7,27.3,21,74.6,9.831,100,41.67,1,0,0,0,0,0,0,50,23.8,214.3,1009.7,87.3,15.3,192.4,16.6,7
8/12/2015,29.3,21.6,25.6,28.7,21.6,25.5,15.5,55.3,0,0,0,0,0,0,0,1,0,0,38.5,26.9,322.5,1013.3,45.1,16,273.6,23.7,9
8/13/2015,28.8,19.8,24.4,27.6,19.8,24.1,12.3,49.4,0,0,0,0,0,0,0,1,0,0,29.5,19.6,327.2,1018.3,55.7,16,273.8,23.7,9
8/14/2015,30.5,17.9,24.3,30.1,17.9,24.2,14.6,56.8,0,0,0,0,0,0,0,1,0,0,21.2,16.1,159.4,1021.5,23.8,16,306.3,26.4,9
8/15/2015,31.6,19.6,25.1,31.8,19.6,25.3,17,62.4,0,0,0,0,0,0,0,1,0,0,22.7,20,184.6,1020.7,42.8,16,289.1,24.9,9
8/16/2015,33.6,20.3,26.2,33.9,20.3,26.7,17.9,62.8,0,0,0,0,0,0,0,1,0,0,25.2,21.6,181.1,1020.6,33.3,15.9,283,24.6,9
8/17/2015,34.8,21.9,27.8,37.9,21.9,29.2,20.1,64.8,0,0,0,0,0,0,0,1,0,0,21.6,20.3,179.6,1018.9,25.6,16,260.7,22.4,8
8/18/2015,31.9,23,27,35.4,23,28.4,21.4,72.9,0,0,0,0,0,0,0,1,0,0,31.3,21.2,180.9,1016,85.3,15.8,208.3,17.9,8
8/19/2015,32.6,24.8,27.5,34.9,24.8,28.8,21.7,71.8,0,0,0,0,0,0,0,1,0,0,35.6,23.5,172.9,1015,84.9,16,213.1,18.3,8
8/20/2015,29.3,23.8,26.4,33.9,23.8,27.8,23.1,82.7,5.375,100,29.17,1,0,0,0,0,0,0,50,23.8,174.9,1013.5,94,15.9,157.1,13.6,6
8/21/2015,29.9,21.6,25.3,29,21.6,25.1,16,60.1,0,0,0,0,0,0,0,1,0,0,35.3,27.2,340.8,1017.3,66.8,16,272.2,23.4,9
8/22/2015,29.9,18,24,28.7,18,23.8,13.4,54.1,0,0,0,0,0,0,0,1,0,0,30.2,16.4,9.4,1019.3,34.1,16,299.4,25.7,9
8/23/2015,29.3,17.9,23.7,29.2,17.9,23.7,14.1,56.4,0.006,100,4.17,1,0,0,0,0,0,0,20.5,16.4,137.5,1016.1,50.9,16,265.9,22.9,8
8/24/2015,32.2,21.4,25.8,35.7,21.4,26.7,19.5,69.5,11.21,100,12.5,1,0,0,0,0,0,0,61,29.8,184.9,1011.8,68.6,15.4,244.1,21,8
8/25/2015,28.9,20.5,24.9,28.2,20.5,24.7,15.4,58.9,0.011,100,8.33,1,0,0,0,0,0,0,27.7,21.1,341.9,1012.7,48.3,15.9,228.6,19.7,9
8/26/2015,27,19.1,22.8,26.9,19.1,22.8,12.4,52.9,0,0,0,0,0,0,0,1,0,0,28.4,21.7,328.3,1016.6,59,16,185.8,16,8
8/27/2015,27.7,17,22.5,27.3,17,22.4,13.1,57.2,0,0,0,0,0,0,0,1,0,0,29.2,20.1,353.1,1019.5,46.1,16,185.8,16,8
8/28/2015,27.8,18.1,23.2,27.7,18.1,23.2,15,61.6,0,0,0,0,0,0,0,1,0,0,18,19.3,128.1,1021.8,45,16,183.8,16.2,7
8/29/2015,31.1,19,25.2,31.7,19,25.4,17,62.3,0,0,0,0,0,0,0,1,0,0,30.2,21.7,181.4,1021.6,76.9,16,219.7,18.9,8
8/30/2015,30,20.5,25,31.5,20.5,25.4,18.7,69.2,1.807,100,4.17,1,0,0,0,0,0,0,27.7,20.8,189.1,1019.4,85.2,16,210.3,18.1,7
8/31/2015,30.7,23.7,26.6,32.4,23.7,27.2,19.3,64.8,0,0,0,0,0,0,0,1,0,0,29.5,20,192,1018.3,81.4,16,200.9,17.5,7
9/1/2015,34.7,22,27.7,36.2,22,28.8,20.7,68.8,0,0,0,0,0,0,0,1,0,0,23.4,13,215.8,1017.4,51.2,16,234,20,8
9/2/2015,33.3,24,28.2,35.1,24,29,20.8,66.6,0.011,100,4.17,1,0,0,0,0,0,0,35.3,14.6,306.3,1015.9,80,15,202.7,17.5,7
9/3/2015,34.5,23.6,27.7,36.7,23.6,28.9,20.3,65.6,0.167,100,8.33,1,0,0,0,0,0,0,29.5,17.1,319.7,1012.5,36.3,15.9,243.5,21,8
9/4/2015,32.8,23.5,27.8,35.9,23.5,29.2,20.9,67,0,0,0,0,0,0,0,1,0,0,26.3,17.7,72.3,1015.8,64.8,15.2,221.5,19.1,8
9/5/2015,29.3,23.1,25.7,30.4,23.1,26,19.4,69.3,0,0,0,0,0,0,0,1,0,0,32.4,22.8,80.4,1022.3,78.2,16,207.9,17.9,8
9/6/2015,29.9,20.1,24.5,28.6,20.1,24.3,14.7,58.3,0,0,0,0,0,0,0,1,0,0,25.9,14,82.4,1022.4,58.7,16,250.7,21.6,8
9/7/2015,31.7,20.7,26.1,33.3,20.7,26.9,18.9,65.8,0,0,0,0,0,0,0,1,0,0,21.2,17.4,173.2,1019.6,34,16,246.3,21.3,8
9/8/2015,33.3,21.9,27.5,35.5,21.9,28.8,20.7,68.5,0.073,100,4.17,1,0,0,0,0,0,0,29.9,19.6,180.5,1016.9,24.5,16,246,21.3,8
9/9/2015,34.2,23.7,28.2,37.6,23.7,29.8,21.9,71.1,0,0,0,0,0,0,0,1,0,0,29.5,19.6,187.2,1012.8,60.1,16,186.8,16.2,7
9/10/2015,28.8,21.1,24.7,31.8,21.1,25.1,21,80.1,2.908,100,20.83,1,0,0,0,0,0,0,36.7,25,305.7,1008.7,92.3,15.7,60,5.4,3
9/11/2015,30.5,18.4,23.9,29.2,18.4,23.7,14.7,59.9,8.491,100,8.33,1,0,0,0,0,0,0,35.3,22.2,328.1,1009.5,44.1,15.9,229,19.9,8
9/12/2015,23.8,19.6,21.8,23.8,19.6,21.8,19.1,84.9,4.27,100,20.83,1,0,0,0,0,0,0,30.2,19.7,201.1,1006.9,70.2,15.7,87.2,7.3,3
9/13/2015,23.2,17,19.8,23.2,17,19.8,10.2,55.1,0.011,100,4.17,1,0,0,0,0,0,0,43,28.8,308,1010.2,66.2,15.6,205.8,17.8,8
9/14/2015,26,12.7,19.5,26,12.7,19.5,7.9,49.9,0,0,0,0,0,0,0,1,0,0,38.9,22.7,270.4,1020.8,7.1,16,260.7,22.6,8
9/15/2015,28.8,15.1,21.8,27.7,15.1,21.7,11.2,53.8,0,0,0,0,0,0,0,1,0,0,16.2,12.8,304.3,1027,39.5,16,255,22,8
